anon_id,gender,birth_year,native_language,language_used_at_home,non_native_language_1,yrs_of_study_lang1,study_in_classroom_lang1,ways_of_study_lang1,non_native_language_2,yrs_of_study_lang2,study_in_classroom_lang2,ways_of_study_lang2,non_native_language_3,yrs_of_study_lang3,study_in_classroom_lang3,ways_of_study_lang3,course_history,yrs_of_english_learning,yrs_in_english_environment,age
eb6,Male,1992,Chinese,Chinese;English,English,3-5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,607;633;634;635;651;687;691;751,3-5 years,less than 1 year,17
gk5,Male,1979,Korean,Korean,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,Japanese,less than 1 year,no,Studied by myself,,,no,,632;633;634;635;636;690;691;692;693;694;755;798,more than 5 years,none,30
bf2,Male,1989,Chinese,Chinese,English,more than 5 years,no,Studied by myself;I learned from my friend who is a native speaker,,,no,,,,no,,632;633;634;635;636;759;760;761;762;763;807,more than 5 years,1-2 years,21
dx4,Female,1987,Turkish,Turkish;English,English,1-2 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,607;608;609;610;611;682;683;684;685;686;803;806,1-2 years,1-2 years,23
ap8,Male,1986,Chinese,Chinese;English,English,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,Chinese,more than 5 years,no,I lived in a country where they spoke Chinese;other,,,no,,607;608;609;610;611;687;688;705;706;707;850;851;852;853;854;912;913;915;924;926;996;1015,3-5 years,none,24
ai2,Female,1970,Chinese,Chinese,English,more than 5 years,no,Studied by myself,,,no,,,,no,,609;610,more than 5 years,none,40
fe3,Female,1979,Portuguese,Portuguese;English,English,1-2 years,yes,Worked in pairs/groups;Practiced speaking in class,,,no,,,,no,,607;608;609;610;611;674;675;682;683;707,1-2 years,less than 1 year,30
am7,Male,1983,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);other,,,no,,,,no,,609;610;611;649;650;679;680;681;687;688;730;731;732;749;751;791;802;803;805;812;878,more than 5 years,more than 5 years,27
fh1,Male,1989,Arabic,Arabic;English,English,3-5 years,yes,Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes,,,no,,,,no,,607;608;609;610;611;682;683;684;685;686;742;754;755;756;757;807;808,3-5 years,none,20
dx3,Male,1988,Arabic,Arabic;English,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,609;610;611;649;650;708;729;730;731;747;798;819,1-2 years,none,21
ba3,Female,1980,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Teacher corrected my mistakes,Japanese,less than 1 year,yes,Studied vocabulary;Studied pronunciation;Teacher corrected my mistakes,,,no,,609;610;611;612;613;687;688;705;706;707,more than 5 years,3-5 years,28
cl6,Female,1985,Chinese,Chinese;English,Chinese,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Chinese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,609;610;649;650;651;677;678;705;706;707;759;760;761;762;763,more than 5 years,more than 5 years,24
fv4,Male,1978,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Teacher spoke to me in English;Teacher corrected my mistakes;other,,,no,,,,no,,607;608;609;610;611;682;683;705;706;707;729;731;732;750;751;787;800;801,more than 5 years,none,31
af2,Male,1970,Portuguese,Portuguese;Makwa,Italian,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Italian;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,Spanish,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in Spanish;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,609;610;617;618;621,less than 1 year,none,39
em5,Female,1982,Arabic,Arabic;English,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,French,1-2 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,607;608;609;610;611;679;680;681;687;688;733;734;737;756;757;792;793;796,more than 5 years,none,27
ac2,Female,1981,Arabic,Arabic,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,609;610;651;679;680;681,1-2 years,less than 1 year,28
cg0,Male,1977,French,French;Arabic;Pular,English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays;other,Spanish,less than 1 year,no,Studied by myself;I lived in a country where they spoke Spanish;other,Wolof,less than 1 year,no,I lived in a country where they spoke wolof;other,609,3-5 years,less than 1 year,32
gk4,Male,1991,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,612;613;614;615;651;679;687;688;706;707;759;760;761;762;763,more than 5 years,none,18
bw5,Male,1977,Arabic,Arabic;English,Arabic,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Arabic;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,607;608;614;615;616;666;677;678;708,more than 5 years,3-5 years,35
bj2,Male,1978,Spanish,Spanish,Greek,1-2 years,no,Studied by myself;other,,,no,,,,no,,614;615;649;650;651;678;679;680;681;687;753;756;757;802;803;804;805;806;879,less than 1 year,less than 1 year,31
dw9,Female,1986,Turkish,Turkish,English,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Practiced speaking in class,,,no,,,,no,,613;614;615;616;771;777;779,less than 1 year,1-2 years,23
gl7,Female,1982,Arabic,Arabic;English,English,more than 5 years,yes,Studied grammar;Studied vocabulary,,,no,,,,no,,612;614;616,more than 5 years,3-5 years,27
fm5,Male,1991,Arabic,Arabic,Arabic,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Arabic;Teacher corrected my mistakes;Wrote paragrphs/essays,English,more than 5 years,no,Studied by myself,,,no,,614;615;649;650;651;679;681;682;683;706;754;755;758;802;803;806,more than 5 years,less than 1 year,19
cy3,Male,1984,Arabic,Arabic,Arabic,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Arabic;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,612;613;614;615;616;682;683;684;685;686,3-5 years,none,26
aq9,Male,1983,Arabic,Arabic,,,,,,,,,,,,,614;615;649;650;651;672;673;676;684;685,1-2 years,less than 1 year,26
bg0,Male,1986,Arabic,Arabic;English,,,,,,,,,,,,,614;615;649;650;651;672;673;674;675;676,3-5 years,3-5 years,24
ez6,Female,1977,Arabic,Arabic,English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,612;614;623;630;636;674;677;691;693;694;753;754;760;761;762;802;812,more than 5 years,none,32
dp2,Female,1970,Turkish,Turkish,,,,,,,,,,,,,612;614;615;616;623;681;687;691;705;706;751;752;753;759;799;807;810;811,3-5 years,1-2 years,39
ac4,Female,1969,Spanish,Spanish,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,619;620;621,1-2 years,3-5 years,40
gs0,Male,1987,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Listened to audio materials (tapes/CDs);Teacher spoke to me in English,,,no,,,,no,,657;658;661;674;675;729;730;732;751;752;797;798;873;874;875;876;877,more than 5 years,less than 1 year,23
gh6,Female,1987,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,French,1-2 years,yes,Had a native-speaker teacher;Studied vocabulary,Chinese,less than 1 year,yes,Had a native-speaker teacher;Studied vocabulary;Practiced reading aloud,751;752;754;755;758;808,more than 5 years,less than 1 year,23
cg7,Male,1974,Japanese,Japanese,English,more than 5 years,yes,Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,751;752,more than 5 years,none,36
df7,Female,1989,Japanese,Japanese,English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays,,,no,,,,no,,687;688;705;706;707;730;749;751;752;753,3-5 years,none,21
al4,Female,1985,Korean,Korean,English,more than 5 years,yes,Studied vocabulary,Japanese,1-2 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation,,,no,,751,more than 5 years,less than 1 year,25
cj5,Female,19,Chinese,Chinese;English,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes,French,less than 1 year,yes,Studied vocabulary;Teacher corrected my mistakes,,none,no,Studied by myself,687;688;705;706;707;749;750;751;752;753;809;810,more than 5 years,less than 1 year,86
fe4,Male,1991,Arabic,Arabic,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,657;658;661;684;685;714;730;732;751;752;782;783;786;799;800;860;861;862;886;887,less than 1 year,1-2 years,19
go4,Male,1983,Arabic,Arabic;English,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,662;666;678;680;705;729;732;750;751;752,1-2 years,1-2 years,27
gi1,Male,1986,Arabic,Arabic,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,672;673;681;692;693;751;752;753;754;760;797;808;878;890,1-2 years,less than 1 year,24
go8,Male,1983,Chinese,Chinese,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,738;742;750;751;752,more than 5 years,1-2 years,27
ei0,Male,1989,Arabic,Arabic;Farsi,English,3-5 years,no,Studied by myself;other,,,no,,,,no,,687;688;705;706;707;759;760;761;762;763,3-5 years,1-2 years,21
ck6,Male,1987,French,French,German,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in German;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,Latin,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud;other,,,no,,753;759;760;761;762,more than 5 years,less than 1 year,23
bh2,Male,1987,Arabic,Arabic,English,1-2 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,672;673;676;684;685;759;760;761;762;763;878;879;880;881;882,1-2 years,less than 1 year,23
gb6,Female,1985,Taiwanese,Taiwanese;Chinese,English,3-5 years,no,Studied by myself,,,no,,,,no,,674;675;676;687;688;759;760;761;762;763,3-5 years,1-2 years,25
cz2,Male,1986,Chinese,Taiwanese;Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,Japanese,1-2 years,no,Studied by myself,,,no,,682;683;686;697;698;754;760;761;762;763;884,more than 5 years,less than 1 year,24
ee5,Male,1980,Arabic,Arabic,English,1-2 years,yes,Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation,,,no,,,,no,,660;677;678;684;686;731;749;750;753;761,1-2 years,3-5 years,30
ao2,Male,1987,Arabic,Arabic,English,3-5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,687;696;705;706;707;759;760;761;762;763,more than 5 years,less than 1 year,23
gs5,Female,1972,Korean,Korean,English,more than 5 years,yes,Studied grammar;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes;Wrote paragrphs/essays,French,1-2 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs),,,no,,695;696;697;698;699;759;760;761;762;763,,,38
bu3,Male,1979,Thai,Thai,English,3-5 years,yes,Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes,,,no,,,,no,,760;761;762,3-5 years,3-5 years,31
hc1,Female,1984,Korean,Korean,English,1-2 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays,Chinese,less than 1 year,yes,Studied grammar;Studied vocabulary;Practiced reading aloud,,,no,,750;761;762,1-2 years,less than 1 year,26
gw3,Female,1984,Other,Malay;English,English,more than 5 years,no,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English;other,Chinese,1-2 years,yes,Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,,,no,,729;730;732;761;762,more than 5 years,more than 5 years,26
ad5,Male,1991,Arabic,Arabic;English,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,743;744;745;746;747;806;807;808;809;810;842;888;889;890;893;894,1-2 years,less than 1 year,19
ed2,Female,1984,Turkish,Turkish,English,3-5 years,yes,Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,,,no,,,,no,,743;744;745;746;747;793;795;796;807;809;945;946;952;953;954,3-5 years,1-2 years,26
db5,Male,1992,Farsi,Farsi,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced reading aloud,Arabic,more than 5 years,yes,Studied grammar;Studied vocabulary;Studied pronunciation;Practiced reading aloud,,,no,,657;658;659;660;661;743;744;745;746;747;802;803;804;805;806,more than 5 years,less than 1 year,18
em1,Female,1979,Chinese,Chinese;Taiwanese,English,3-5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,742;743;744;745;746,3-5 years,less than 1 year,31
ee1,Female,1983,Thai,Thai;English,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,French,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials;Teacher spoke to me in Japanese;Studied pronunciation,Japanese,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials;Teacher spoke to me in Japanese;Practiced reading aloud;Teacher corrected my mistakes,743;744;745;746;747,more than 5 years,1-2 years,27
gw0,Female,1973,Chinese,Chinese,Chinese,more than 5 years,yes,Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in Chinese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,743;744;745;746;747;793;807;810;811;812;880;881;882;888;889,more than 5 years,3-5 years,37
ep2,Female,1987,French,French,English,3-5 years,yes,Studied grammar;Studied vocabulary;Wrote paragrphs/essays,Spanish,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Spanish;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,743;744;745;746;747;802;803;804;805;806;842;893,3-5 years,none,23
fr0,Male,1986,Arabic,Arabic,English,3-5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher corrected my mistakes,,,no,,,,no,,657;658;661;674;675;737;738;739;756;757,3-5 years,less than 1 year,24
ey2,Female,1980,Japanese,Japanese,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes,French,1-2 years,yes,Studied grammar,,,no,,672;673;674;675;686;756;757;758;759;760;802;808;878,more than 5 years,less than 1 year,29
eq2,Male,1990,Arabic,Arabic;English,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Teacher corrected my mistakes,,,no,,,,no,,680;686;687;688;705;733;734;737;756;757;796;813;817,more than 5 years,less than 1 year,20
cs4,Male,1970,Chinese,English;Japanese,,,,,,,,,,,,,697;755;756;816;856;890;942;946,more than 5 years,more than 5 years,40
gt8,Male,1984,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,,,no,,,,no,,708;718;729;730;731;796;807;808;809;810;888;889;890;891;892,less than 1 year,less than 1 year,26
ff3,Male,1983,Portuguese,Portuguese,English,less than 1 year,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,662;664;665;676;678;708;729;731;750;753,less than 1 year,less than 1 year,27
cs6,Male,1986,Arabic,Arabic,,more than 5 years,no,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke none,,,no,,,,no,,662;663;664;665;666;708;715;729;731;732;782;783;784;785;786,1-2 years,more than 5 years,24
fn1,Female,1990,Spanish,Spanish;English,English,3-5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud,,,no,,,,no,,708;729;730;732,3-5 years,less than 1 year,20
gw1,Male,1986,Arabic,Arabic,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,662;664;665;666;678;708;729;731;732;750;802;803;804;805;806,1-2 years,3-5 years,24
ey8,Male,1981,Chinese,Chinese;Taiwanese,Chinese,more than 5 years,yes,Worked in pairs/groups;Studied vocabulary;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,662;663;664;665;666;708;729;730;731;732,more than 5 years,less than 1 year,29
fp2,Female,1982,Korean,Korean,English,more than 5 years,yes,Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,French,1-2 years,yes,Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in French,,,no,,708;729;730;731;732;798,more than 5 years,less than 1 year,27
du2,Female,1982,Chinese,Chinese,,3-5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in no;Studied pronunciation;Practiced reading aloud,English,3-5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud,,,no,,607;630;708;809,more than 5 years,none,28
cw7,Male,1986,Arabic,Arabic,English,1-2 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Wrote paragrphs/essays,,,no,,,,no,,708;714;718;730;731;796;802;808;809;810;842;888;889;890;894,1-2 years,more than 5 years,24
eg2,Male,1992,Arabic,Arabic;English,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays;other,,,no,,,,no,,738;739;740;741;742;806,more than 5 years,less than 1 year,18
ef0,Male,1992,Arabic,Arabic;English,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Wrote paragrphs/essays,French,1-2 years,yes,Practiced speaking in class;Practiced reading aloud;Teacher corrected my mistakes,,,no,,738;739;740;741;742;807;808;810;811;812,more than 5 years,less than 1 year,18
gj8,Female,1985,Arabic,Arabic,,,,,,,,,,,,,738;739;740;741;747;807;809;810;811;813;888;889;890;891;892;942;943;945;946;954,1-2 years,none,25
ed1,Male,1985,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary,,,no,,,,no,,738;739;740;741;742;803,more than 5 years,less than 1 year,25
gl2,Female,1984,Chinese,Taiwanese;Chinese,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes,Japanese,less than 1 year,yes,Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in Japanese;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,no,,738;739;740;741;747;798;799;800;806,more than 5 years,none,26
az6,Female,1981,Arabic,Arabic,English,3-5 years,no,other,French,1-2 years,no,other,,,no,,714;717;718;739;740;783;799;818;819;822,3-5 years,more than 5 years,29
at1,Female,1981,Arabic,Arabic;English,Arabic,more than 5 years,no,I lived in a country where they spoke Arabic,English,1-2 years,yes,Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes,,,no,,738;739;740;741;742;798;801,more than 5 years,less than 1 year,29
dh8,Female,1991,Arabic,Arabic;English,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,738;739;740;741;742;797;799;800;801;808,more than 5 years,less than 1 year,19
cv3,Female,1991,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Teacher corrected my mistakes,,,no,,,,no,,715;738;740;741;742;783;797;799;800;801;874,more than 5 years,less than 1 year,19
ex3,Male,1980,Korean,Korean,English,1-2 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud,,,no,,,,no,,738;739;740;741;742;885,1-2 years,none,30
ez5,Male,1991,Arabic,Arabic;English,English,more than 5 years,yes,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,738;739;740;741;742;800;802;803;806;812,more than 5 years,less than 1 year,19
ar0,Female,1987,Arabic,Arabic,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,714;715;718;740;741;782;783;785;786;799;855;857;881;882;889,more than 5 years,less than 1 year,23
bw0,Female,1975,Korean,Korean,English,more than 5 years,yes,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Wrote paragrphs/essays,,,no,,,,no,,740;803,more than 5 years,1-2 years,35
bk2,Female,1976,Russian,Russian,German,3-5 years,yes,Studied grammar;Studied vocabulary;Practiced reading aloud,,,no,,,,no,,739;740;884;951,less than 1 year,less than 1 year,34
ej9,Female,1987,Arabic,Arabic;English,English,3-5 years,yes,Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Wrote paragrphs/essays,,,no,,,,no,,733;734;735;736;737;802;803;804;805;806;883;884;885;886;887,3-5 years,less than 1 year,23
aj1,Female,1985,Taiwanese,Taiwanese;Chinese,English,more than 5 years,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,no,,,,no,,733;735;736;737;755,more than 5 years,less than 1 year,25
dh1,Male,1984,Arabic,Arabic,English,less than 1 year,yes,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs),,,no,,,,no,,662;663;664;665;666;720;733;735;736;737;797;799;819;820;822,more than 5 years,less than 1 year,27
